,Month,Year,OIL COMPANIES,Quantity (000 Metric Tonnes),last_updated
500,,2024,"CPCL-MANALI, TAMILNADU",1072.31,
501,,2024,"NRL-NUMALIGARH, ASSAM",285.78,
502,,2024,ONGC TOTAL,1527.62,
503,,2024,"HMEL-GGSR, BATHINDA, PUNJAB",1103.42,
504,,2024,"NEL-VADINAR,GUJARAT",1728.11,
505,,2022,"IOCL-HALDIA, WEST BENGAL",706.39,
506,,2022,"IOCL-PANIPAT, HARYANA",1172.27,
507,,2022,"NRL-NUMALIGARH, ASSAM",270.72,
508,,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",6.05,
509,,2022,"IOCL-HALDIA, WEST BENGAL",712.4,
510,,2022,"IOCL-BONGAIGAON,ASSAM",182.52,
511,,2022,"IOCL-PARADIP,ODISHA",1362.51,
512,,2022,"BPCL-KOCHI, KERALA",1431.85,
513,,2022,ONGC TOTAL,1421.98,
514,,2022,RIL TOTAL,5671.18,
515,,2022,"IOCL-HALDIA, WEST BENGAL",678.74,
516,,2022,"IOCL-BONGAIGAON,ASSAM",185.65,
517,,2022,"NRL-NUMALIGARH, ASSAM",240.56,
518,,2022,"HPCL-MUMBAI,MAHARASHTRA",851.69,
519,,2022,"HMEL-GGSR, BATHINDA, PUNJAB",1078.48,
520,,2022,"IOCL-KOYALI, GUJARAT",1303.93,
521,,2022,"IOCL-DIGBOI,ASSAM",62.85,
522,,2022,"BPCL-MUMBAI, MAHARASHTRA",689.36,
523,,2022,BORL-BINA,586.53,
524,,2022,"MRPL-MANGALORE,KARNATAKA",1428.36,
525,,2022,HPCL-TOTAL,2669.81,
526,,2022,"NEL-VADINAR,GUJARAT",1734.8,
527,,2022,"IOCL-BONGAIGAON,ASSAM",248.88,
528,,2022,"HPCL-MUMBAI,MAHARASHTRA",766.9,
529,,2022,HPCL-TOTAL,2342.38,
530,,2022,"NEL-VADINAR,GUJARAT",1750.8,
531,,2022,"IOCL-DIGBOI,ASSAM",44.35,
532,,2023,"IOCL-MATHURA, UTTAR PRADESH",836.71,
533,,2023,HPCL-TOTAL,2754.96,
534,,2023,"IOCL-GUWAHATI,ASSAM",96.3,
