,Month,Year,OIL COMPANIES,Quantity (000 Metric Tonnes),last_updated
360,,2022,"IOCL-BONGAIGAON,ASSAM",244.09,
361,,2022,"CPCL-MANALI, TAMILNADU",921.0,
362,,2022,HPCL-TOTAL,2599.45,
363,,2022,"IOCL-MATHURA, UTTAR PRADESH",879.89,
364,,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",6.46,
365,,2022,ONGC TOTAL,1510.51,
366,,2022,HPCL-TOTAL,2785.38,
367,,2022,"NEL-VADINAR,GUJARAT",1712.08,
368,,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",2542.8,
369,,2023,RIL TOTAL,5390.8,
370,,2023,"IOCL-BARAUNI,BIHAR",542.97,
371,,2023,BORL-BINA,657.05,
372,,2023,BPCL-TOTAL,3356.68,
373,,2023,"NRL-NUMALIGARH, ASSAM",244.06,
374,,2023,"ONGC-TATIPAKA,ANDHRA PRADESH",6.12,
375,,2023,ONGC TOTAL,1399.11,
376,,2023,"IOCL-HALDIA, WEST BENGAL",742.52,
377,,2023,IOCL TOTAL,6696.37,
378,,2021,"IOCL-BARAUNI,BIHAR",471.0,
379,,2021,"IOCL-PARADIP,ODISHA",1332.0,
380,,2021,CPCL-TOTAL,760.0,
381,,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1059.0,
382,,2021,"NEL-VADINAR,GUJARAT",1633.0,
383,,2021,GRAND TOTAL,19885.0,
384,,2021,"IOCL-MATHURA, UTTAR PRADESH",692.0,
385,,2021,"IOCL-PANIPAT, HARYANA",1156.0,
386,,2021,"IOCL-GUWAHATI,ASSAM",,
387,,2021,"IOCL-PARADIP,ODISHA",1045.0,
388,,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1102.0,
389,,2021,"RIL,JAMNAGAR,GUJARAT",2837.0,
390,,2021,"IOCL-BONGAIGAON,ASSAM",233.0,
391,,2021,"IOCL-PARADIP,ODISHA",1034.0,
392,,2021,"CPCL-MANALI, TAMILNADU",646.0,
393,,2021,"IOCL-BARAUNI,BIHAR",569.0,
394,,2021,"IOCL-KOYALI, GUJARAT",1102.0,
395,,2021,IOCL TOTAL,5668.0,
396,,2021,BPCL-TOTAL,2962.0,
397,,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",3.0,
398,,2021,HPCL-TOTAL,1898.0,
399,,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2284.0,
400,,2021,"IOCL-BARAUNI,BIHAR",296.0,
401,,2021,"IOCL-BONGAIGAON,ASSAM",233.0,
402,,2021,IOCL TOTAL,4904.0,
403,,2021,"HPCL-MUMBAI,MAHARASHTRA",299.0,
404,,2021,GRAND TOTAL,18439.0,
405,,2021,"IOCL-PANIPAT, HARYANA",1086.0,
406,,2021,"IOCL-GUWAHATI,ASSAM",77.0,
