,Month,Year,OIL COMPANIES,Quantity (000 Metric Tonnes),last_updated
144,,2023,CPCL-TOTAL,1007.97,
145,,2023,ONGC TOTAL,769.08,
146,,2023,"HMEL-GGSR, BATHINDA, PUNJAB",1074.65,
147,,2023,"IOCL-PANIPAT, HARYANA",1300.18,
148,,2023,"BPCL-KOCHI, KERALA",1543.83,
149,,2023,BORL-BINA,710.06,
150,,2023,"HPCL-MUMBAI,MAHARASHTRA",898.01,
151,,2023,"NEL-VADINAR,GUJARAT",1726.29,
152,,2023,GRAND TOTAL,20562.37,
153,,2023,"IOCL-KOYALI, GUJARAT",1290.12,
154,,2023,"IOCL-MATHURA, UTTAR PRADESH",864.52,
155,,2023,"IOCL-DIGBOI,ASSAM",66.3,
156,,2023,"IOCL-BONGAIGAON,ASSAM",249.59,
157,,2023,IOCL TOTAL,6319.06,
158,,2023,CPCL-TOTAL,1001.04,
159,,2023,BPCL-TOTAL,3117.07,
160,,2023,ONGC TOTAL,1503.8,
161,,2023,"HMEL-GGSR, BATHINDA, PUNJAB",1074.42,
162,,2023,"IOCL-GUWAHATI,ASSAM",97.18,
163,,2023,"IOCL-BONGAIGAON,ASSAM",255.87,
164,,2023,IOCL TOTAL,6526.5,
165,,2023,"CPCL-MANALI, TAMILNADU",820.5,
166,,2023,BORL-BINA,666.16,
167,,2023,"NRL-NUMALIGARH, ASSAM",287.17,
168,,2023,"HPCL-VISAKH,ANDHRA PRADESH",907.85,
169,,2024,"IOCL-PANIPAT, HARYANA",1213.87,
170,,2024,CPCL-TOTAL,1001.24,
171,,2024,"HPCL-VISAKH,ANDHRA PRADESH",1180.36,
172,,2024,HPCL-TOTAL,2886.15,
173,,2024,"RIL-(SEZ), JAMNAGAR,GUJARAT",2615.91,
174,,2024,GRAND TOTAL,22566.05,
175,,2024,"IOCL-HALDIA, WEST BENGAL",678.34,
176,,2024,"IOCL-MATHURA, UTTAR PRADESH",793.51,
